Feature,Importance
SMR_VSA5_1,0.34391870415010206
Chi2n_2,0.22387470730534623
MolLogP_2,0.21714461827604592
Inv_T,0.1879314754551736
TPSA_2,0.1845116140398072
qed_1,0.18130893793531772
MaxPartialCharge_1,0.1591027586795832
SMR_VSA10_2,0.15594864947940063
MaxPartialCharge_2,0.15253458381922286
MinPartialCharge_1,0.14487036620021004
FractionCSP3_1,0.14245696472845534
PEOE_VSA9_2,0.10939323586472592
Chi0n_1,0.10063277950330615
Chi1n_1,0.09807072070367034
SlogP_VSA5_2,0.09400537310591726
Delta_LabuteASA,0.07901184877700487
Chi1n_2,0.07719739185642183
fr_C_O_1,0.07026960545847324
MolMR_2,0.0500800250311435
fr_ketone_1,0.015247034693883528
