Feature,Importance
MinAbsPartialCharge_2,0.14775824282301822
Delta_TPSA,0.09216882928520007
Inv_T,0.07914188256889533
MaxPartialCharge_1,0.07039911962681983
FpDensityMorgan3_1,0.06951883045033579
SMR_VSA7_2,0.06762973436619053
NHOHCount_2,0.06490996281866541
Chi3n_2,0.054302416253909955
Delta_LogP,0.051681798903888
Kappa1_1,0.050886090271096945
SMR_VSA6_1,0.04419550927523726
PEOE_VSA8_1,0.04269474876347215
Chi2n_1,0.04147523273362291
SMR_VSA5_1,0.04003007262514576
HeavyAtomMolWt_1,0.027200787246406094
AvgIpc_1,0.026889132714369917
EState_VSA9_1,0.02022354762502153
fr_C_O_1,0.00889406164870442
