Feature,Importance
MolLogP_2,0.2314925739655571
SlogP_VSA3_1,0.21947120867941475
SMR_VSA6_1,0.2012457411661491
Inv_T,0.17109093359630448
NumRotatableBonds_2,0.1474527435810685
FractionCSP3_1,0.14011535434349104
SMR_VSA2_2,0.1329994990365765
fr_NH2_2,0.132155735960104
MinAbsPartialCharge_2,0.12987516540586336
Chi2n_2,0.09680581835434647
SMR_VSA5_1,0.08755178916508541
Chi3n_2,0.0727203995769214
HeavyAtomCount_2,0.0708679442972372
FpDensityMorgan1_2,0.06478059603568528
Chi1_2,0.06153294617633833
Delta_MolWt,0.05318841626087563
PEOE_VSA8_1,0.0513478566070686
MaxPartialCharge_2,0.043063976783885384
SlogP_VSA6_2,0.04085760507021348
HB_Match,0.03924933161508013
SMR_VSA7_2,0.03315347903274248
fr_ketone_1,0.0318581619330877
NumSaturatedCarbocycles_2,0.03127684016650765
NumAromaticCarbocycles_2,0.028662155760700747
PEOE_VSA4_1,0.018593573762344672
fr_ketone_Topliss_1,0.01687731999835327
fr_halogen_1,0.007615060591399647
fr_Al_COO_2,0.0031880623659365837
fr_methoxy_1,0.0024908255877289067
BCUT2D_MWLOW_1,5.5397262706624593e-05
