Feature,Importance
MinAbsPartialCharge_2,0.10630771613496941
SMR_VSA2_2,0.10005054872715502
Inv_T,0.0979661735723792
SMR_VSA5_1,0.09491962726655545
BCUT2D_MWLOW_1,0.07979235843878629
PEOE_VSA8_1,0.06959428713301763
SlogP_VSA3_1,0.06706808103832801
MolLogP_2,0.06664092831904507
Delta_MolWt,0.051949105272201666
SMR_VSA6_1,0.03918768355279883
MaxPartialCharge_2,0.033423231717379716
FractionCSP3_1,0.026767518307374505
FpDensityMorgan1_2,0.02448286418168938
NumRotatableBonds_2,0.024226732822116296
Chi1_2,0.021481644208675904
Chi2n_2,0.015801719513676326
SMR_VSA7_2,0.014337960028873904
SlogP_VSA6_2,0.013736272175875528
Chi3n_2,0.012881895494856493
NumSaturatedCarbocycles_2,0.010968227583441527
fr_halogen_1,0.008119257580709851
HB_Match,0.005823089312587969
HeavyAtomCount_2,0.0037355623243517503
fr_NH2_2,0.003096627732457308
fr_ketone_1,0.0023255788025622654
fr_methoxy_1,0.0016034430505589335
PEOE_VSA4_1,0.0015432601927006305
fr_Al_COO_2,0.0013625684691805726
fr_ketone_Topliss_1,0.00045103913470810364
NumAromaticCarbocycles_2,0.0003549979109866639
