gen,max_r2,avg_r2,std_r2,best_n_features,elapsed_sec
0,0.14376159840441768,-0.1588612823579724,0.3440965882370471,34,34.35532832145691
1,0.16111979149195577,-0.10637281362500631,0.35214331454474124,23,14.723184823989868
2,0.19710217899209279,-0.0824891051170064,0.3611408669315226,28,15.716729164123535
3,0.2176720844817525,0.03747117728085824,0.22853408096803834,23,14.94359040260315
4,0.2176720844817525,-0.003178642884106609,0.33918204359184956,23,16.01352834701538
5,0.2771568836135426,0.07986476403636332,0.2545508015876923,20,16.69024920463562
6,0.27118563253799693,0.09335037551190312,0.28280451026148157,20,15.559717655181885
7,0.32852498084069554,0.0629804198291568,0.3607630727981146,25,16.817003965377808
8,0.3067413279026317,0.13513239158929014,0.26586387744242507,25,15.074022054672241
9,0.330224339948298,0.17600275697809006,0.21400929094376545,27,15.75776481628418
10,0.3172464887414985,0.17332060852848297,0.22099154803488696,27,15.827577114105225
11,0.33386283353701307,0.2197582409072679,0.18402188648748563,31,13.164088010787964
12,0.33404678532960314,0.203043852594358,0.2808951045226198,34,13.784646272659302
13,0.37794080188827833,0.2283692848490565,0.25560080484094866,36,15.487226963043213
14,0.3514029968290715,0.22652089986225557,0.2873961253819688,36,13.003050804138184
15,0.3536429066025231,0.2703005048002966,0.22544283962485578,36,13.878644466400146
16,0.3536429066025231,0.29517384398848157,0.1405376553211794,36,15.732175827026367
17,0.3814756574672667,0.23913840931718156,0.2976533270141477,31,15.71072769165039
18,0.3748277499414265,0.2722706722956321,0.2633801330615948,31,14.940212488174438
19,0.3795092318772406,0.21819078272606107,0.38485666711908895,31,13.860351324081421
20,0.3814195193748468,0.30211170877657595,0.23415518228281829,31,14.958318948745728
21,0.38815986631611654,0.24181318477994332,0.3692773895725531,38,13.02002477645874
22,0.39504204309480784,0.31749358035770125,0.23528916895425833,35,15.18817400932312
23,0.3975093656469974,0.21788794339156897,0.4289097227449411,36,15.055134057998657
24,0.3975093656469974,0.25819700173539034,0.3725230919883807,36,15.213584661483765
25,0.4035277630393261,0.12811476608517766,0.5288266688192993,37,12.470590114593506
26,0.40581694526262174,0.17198308191535033,0.49280113753649346,39,12.601158142089844
27,0.4140868975648005,0.20480636856631565,0.46598948869986984,33,16.252695083618164
28,0.4140868975648005,0.12480946853555036,0.5451907532650095,33,14.976905107498169
29,0.41551598732736056,0.22547588783383293,0.45306546397298936,34,14.409034490585327
30,0.41389143271982937,0.22379551907024312,0.4525598279214187,34,13.748433113098145
31,0.40932062553375853,0.13996161573304297,0.5351731026925178,34,14.850560665130615
32,0.412786653198816,0.2580169891396588,0.4195760442425046,34,16.99984860420227
33,0.4123066668516357,0.16257336519362237,0.5262254230573693,34,14.523747444152832
34,0.4123066668516357,0.17116987821060253,0.5118525887815857,34,17.86151385307312
35,0.41262582926373975,0.2456535878732768,0.4382052123053344,34,15.962170839309692
36,0.41703320278144035,0.2171470179810451,0.4710908199425875,37,15.46822476387024
37,0.41761701966017056,0.27493319464104543,0.4015171156100837,38,17.900667905807495
38,0.4179586717798845,0.20973232475726378,0.4881392879557563,34,14.256830215454102
39,0.41942526264728136,0.2802049300123623,0.4029614007966249,34,17.31472110748291
40,0.42029950788485876,0.2985930605642326,0.3829769984786425,35,16.042476654052734
41,0.4201135300532433,0.2948401745057934,0.38247078674932594,35,19.7176616191864
42,0.42120458208358497,0.2438824917827639,0.4594576949209412,38,19.21943187713623
43,0.4231629873759924,0.18948709783488024,0.5191459166398082,37,12.153427124023438
44,0.42626632917910817,0.2599252154591978,0.4431143499304911,39,15.456486940383911
45,0.42626632917910817,0.25424390690269966,0.4421883904012976,39,15.92483139038086
46,0.42626632917910817,0.28705759307547596,0.4050948410559627,39,15.363227128982544
47,0.42626632917910817,0.2602739068807274,0.44325768494183554,39,17.71274757385254
48,0.42626632917910817,0.2158889627731316,0.49094885819621437,39,13.992636919021606
49,0.42641712852285424,0.2723154064883624,0.4246580553907051,35,17.001872539520264
50,0.426437755971393,0.1933793185982624,0.5208421202595149,36,16.887335777282715
51,0.426437755971393,0.26356243568043713,0.4444756669785813,36,15.874119520187378
52,0.426437755971393,0.3223060684344985,0.36279745614995756,36,20.983157873153687
53,0.426437755971393,0.2212036352109834,0.492941639545488,36,15.852674961090088
54,0.426437755971393,0.16573071063828537,0.5463651300059846,36,15.36080551147461
55,0.426437755971393,0.24974622597936327,0.46270885057470734,36,16.52296805381775
56,0.426437755971393,0.280326094151944,0.4272771987539591,36,17.05745553970337
57,0.426437755971393,0.22366295269355468,0.49410726363072993,36,16.37053108215332
58,0.426437755971393,0.3235799671357793,0.36386936668435926,36,17.86475706100464
59,0.426437755971393,0.2966787656952653,0.40789800515671326,36,16.879844188690186
60,0.426437755971393,0.22600332802280526,0.4947132946072367,36,14.80709958076477
