iteration,test_r2,best_val_loss,epochs,failed,real_test_r2
1,-0.055987929872858944,0.6082058548927307,46,0,0.7845169839687837
2,-0.15666548276417314,0.5998335480690002,56,0,0.7845169839687837
3,-0.14987677758415896,0.6068487763404846,48,0,0.7845169839687837
4,-0.1004845379193966,0.6112926006317139,40,0,0.7845169839687837
5,-0.150263977601109,0.613043487071991,40,0,0.7845169839687837
6,-0.09492210465274153,0.6125555634498596,42,0,0.7845169839687837
7,-0.11508571340747387,0.5968356132507324,53,0,0.7845169839687837
8,-0.12142085206103936,0.6135283708572388,34,0,0.7845169839687837
9,-0.06965256233030725,0.6109353303909302,34,0,0.7845169839687837
10,-0.08136420477233086,0.6138907074928284,43,0,0.7845169839687837
11,-0.1185528900238233,0.6173203587532043,46,0,0.7845169839687837
12,-0.16726587370724277,0.611325204372406,44,0,0.7845169839687837
13,-0.17864312909467128,0.6194828748703003,43,0,0.7845169839687837
14,-0.14587089180071833,0.6106339693069458,41,0,0.7845169839687837
15,-0.0454903653354104,0.6185898184776306,39,0,0.7845169839687837
16,-0.0719222155822028,0.616665780544281,44,0,0.7845169839687837
17,-0.05581455783770073,0.6143893003463745,42,0,0.7845169839687837
18,-0.12672305737798006,0.6128309965133667,41,0,0.7845169839687837
19,-0.12991661276124433,0.6124546527862549,39,0,0.7845169839687837
20,-0.10247335159680593,0.6148554086685181,55,0,0.7845169839687837
21,-0.15589135303246127,0.6114494204521179,39,0,0.7845169839687837
22,-0.0974402224168891,0.6091763377189636,60,0,0.7845169839687837
23,-0.06971557136330575,0.6107330322265625,44,0,0.7845169839687837
24,-0.11439560168241525,0.6257427334785461,50,0,0.7845169839687837
25,-0.09442178983733629,0.6145303249359131,50,0,0.7845169839687837
26,-0.1262562404529084,0.5987980365753174,47,0,0.7845169839687837
27,-0.09107674484639361,0.6236116886138916,32,0,0.7845169839687837
28,-0.13090442914080191,0.6106506586074829,39,0,0.7845169839687837
29,-0.11804480993035726,0.6185218095779419,40,0,0.7845169839687837
30,-0.07810839525448476,0.6089524626731873,42,0,0.7845169839687837
31,-0.1360815572153744,0.6056098937988281,52,0,0.7845169839687837
32,-0.08271324743832675,0.6099240183830261,43,0,0.7845169839687837
33,-0.18029656885641332,0.6174203157424927,41,0,0.7845169839687837
34,-0.11091104282045694,0.605320930480957,40,0,0.7845169839687837
35,-0.10026197261508507,0.6136199235916138,51,0,0.7845169839687837
36,-0.11277355397767042,0.6045636534690857,47,0,0.7845169839687837
37,-0.1225406723036595,0.5942122340202332,48,0,0.7845169839687837
38,-0.08746177856339732,0.6149883270263672,37,0,0.7845169839687837
39,-0.028469132599741487,0.6081678867340088,44,0,0.7845169839687837
40,-0.11888404836412003,0.615996241569519,41,0,0.7845169839687837
41,-0.15630490699189514,0.6157028079032898,44,0,0.7845169839687837
42,-0.1538182310731835,0.6183756589889526,44,0,0.7845169839687837
43,-0.1576308544328493,0.6131654977798462,36,0,0.7845169839687837
44,-0.07447232372794788,0.613581120967865,47,0,0.7845169839687837
45,-0.12065254705185668,0.6058158278465271,48,0,0.7845169839687837
46,-0.13785189986058155,0.6083242297172546,40,0,0.7845169839687837
47,-0.12980865144869136,0.6004850268363953,45,0,0.7845169839687837
48,-0.17588273194451332,0.611511766910553,47,0,0.7845169839687837
49,-0.03797195488516847,0.6138105392456055,44,0,0.7845169839687837
50,-0.08032804371944602,0.6137564182281494,51,0,0.7845169839687837
51,-0.1158217110843418,0.6077374815940857,42,0,0.7845169839687837
52,-0.1486751437561813,0.6096612215042114,50,0,0.7845169839687837
53,-0.16021267154333607,0.6123308539390564,52,0,0.7845169839687837
54,-0.09671096198906648,0.6076798439025879,40,0,0.7845169839687837
55,-0.14736418196343037,0.624205470085144,36,0,0.7845169839687837
56,-0.12921012652902686,0.613300621509552,41,0,0.7845169839687837
57,-0.14193521031100298,0.6205070614814758,38,0,0.7845169839687837
58,-0.11778491297769267,0.6100536584854126,46,0,0.7845169839687837
59,-0.10662439760472453,0.6145811080932617,46,0,0.7845169839687837
60,-0.05107244646566311,0.6100165247917175,44,0,0.7845169839687837
61,-0.10523931662636898,0.6146141886711121,45,0,0.7845169839687837
62,-0.11820197521398601,0.6104108095169067,52,0,0.7845169839687837
63,-0.09543948057610385,0.6084428429603577,41,0,0.7845169839687837
64,-0.07436041392489812,0.6250452995300293,33,0,0.7845169839687837
65,-0.06483602077574191,0.6067231893539429,46,0,0.7845169839687837
66,-0.09712622025465278,0.6171774864196777,50,0,0.7845169839687837
67,-0.0880061955933078,0.6141157746315002,43,0,0.7845169839687837
68,-0.10260036780888626,0.6146324872970581,52,0,0.7845169839687837
69,-0.09003762638845325,0.607326090335846,44,0,0.7845169839687837
70,-0.1590445042091586,0.6218545436859131,39,0,0.7845169839687837
71,-0.1592305849612643,0.6088664531707764,55,0,0.7845169839687837
72,-0.0977391581588074,0.6127262115478516,44,0,0.7845169839687837
73,-0.10178901434611931,0.6091521978378296,53,0,0.7845169839687837
74,-0.1399756055655912,0.6111347079277039,41,0,0.7845169839687837
75,-0.10682054387698514,0.6047892570495605,47,0,0.7845169839687837
76,-0.15710287116728994,0.6037080883979797,44,0,0.7845169839687837
77,-0.06656040603304936,0.6079279184341431,42,0,0.7845169839687837
78,-0.07555292318054829,0.6115162372589111,41,0,0.7845169839687837
79,-0.15400273232011386,0.6152942180633545,38,0,0.7845169839687837
80,-0.12006581530561955,0.6086691617965698,45,0,0.7845169839687837
81,-0.10156577500131414,0.6035503149032593,54,0,0.7845169839687837
82,-0.12132328107370416,0.6053981184959412,43,0,0.7845169839687837
83,-0.1201977503900975,0.6092745661735535,44,0,0.7845169839687837
84,-0.11147427369202623,0.6134494543075562,41,0,0.7845169839687837
85,-0.1344516675963896,0.6138895153999329,42,0,0.7845169839687837
86,-0.09138276672586398,0.6124619245529175,46,0,0.7845169839687837
87,-0.1338199657380379,0.6070281267166138,48,0,0.7845169839687837
88,-0.12693704178466603,0.6097562909126282,41,0,0.7845169839687837
89,-0.08936718746997596,0.6060218214988708,38,0,0.7845169839687837
90,-0.062408936389381386,0.6132120490074158,47,0,0.7845169839687837
91,-0.13767429547972032,0.6121405959129333,43,0,0.7845169839687837
92,-0.10445652047360388,0.6175455451011658,45,0,0.7845169839687837
93,-0.12055603609908516,0.5970737934112549,42,0,0.7845169839687837
94,-0.07965717756959378,0.6040565371513367,48,0,0.7845169839687837
95,-0.17243993266394275,0.6205689311027527,36,0,0.7845169839687837
96,-0.10231896341923852,0.6058309078216553,49,0,0.7845169839687837
97,-0.053868387560234154,0.6096535921096802,39,0,0.7845169839687837
98,-0.17197222389526412,0.6147876977920532,54,0,0.7845169839687837
99,-0.08216761745242818,0.6143984198570251,35,0,0.7845169839687837
100,-0.1307643242619212,0.608217716217041,39,0,0.7845169839687837
