Feature,Importance
Chi1v_1,0.29186248109826024
Inv_T,0.27490708431386757
MaxAbsEStateIndex_2,0.24577094916546524
FpDensityMorgan1_2,0.2122119097900363
MinPartialCharge_1,0.21177685679153657
InvT_x_DTPSA,0.20040030417260998
Delta_LogP,0.18828135265506807
Delta_TPSA,0.16878197323178967
PEOE_VSA8_1,0.15418652440565975
MaxAbsPartialCharge_1,0.14966092090258548
PEOE_VSA6_1,0.1338356639236777
HallKierAlpha_2,0.1253489247659137
ExactMolWt_2,0.10663123063874957
MaxAbsEStateIndex_1,0.09178386973809641
MolLogP_2,0.08986562062834065
VSA_EState8_2,0.07210493232517404
InvT_x_DMaxCharge,0.059542803366975
Delta_MaxAbsCharge,0.05651235714809
Avalon_Similarity,0.049914346771965025
EState_VSA9_1,0.04361189175219553
Morgan_Similarity,0.029678581859221852
Kappa2_2,0.014802962216072867
