Feature,Importance
MinPartialCharge_2,0.9241365566849797
MinPartialCharge_1,0.5358331371764798
InvT_x_DTPSA,0.45970795040386675
Delta_TPSA,0.35528412104450047
Chi2v_2,0.24950826407287457
HeavyAtomMolWt_1,0.2452511507750727
MinEStateIndex_1,0.2441558623040981
InvT_x_DMaxCharge,0.24315802325484906
MaxEStateIndex_1,0.20854619545611874
SMR_VSA1_1,0.19379285687371403
FpDensityMorgan1_2,0.17027346144863625
PEOE_VSA8_2,0.16451132298427168
Delta_MaxAbsCharge,0.1431057450717054
Delta_LogP,0.1404132427822287
Inv_T,0.12664285048927984
