Feature,Importance
Delta_MaxAbsCharge,0.11711732970323431
PEOE_VSA8_2,0.10607299649347307
InvT_x_DMaxCharge,0.0858138417073739
FpDensityMorgan1_2,0.07802369795181875
Chi2v_2,0.07452463166263155
Inv_T,0.07170304001364167
InvT_x_DTPSA,0.06635164285337662
MinEStateIndex_1,0.06326432230584088
Delta_LogP,0.05555119342524048
MinPartialCharge_2,0.05439894288866641
MinPartialCharge_1,0.05244124509341452
MaxEStateIndex_1,0.04663952364976025
Delta_TPSA,0.0455105233031261
SMR_VSA1_1,0.043552855697009896
HeavyAtomMolWt_1,0.039034213251391565
