gen,max_r2,avg_r2,std_r2,best_n_features,elapsed_sec
0,-0.19468840539007473,-0.2733651986626459,0.03471521739099534,18,13.369020938873291
1,-0.19503661636841507,-0.24967369348383303,0.025125827248186034,18,0.9885654449462891
2,-0.19503661636841507,-0.23364184699133841,0.020261075363563894,18,1.1316499710083008
3,-0.1888124139943448,-0.22032215307982925,0.01758255015608318,22,1.0540292263031006
4,-0.18861688754273143,-0.21118826465597682,0.010160102982069855,22,1.0676591396331787
5,-0.18517564013697663,-0.20556105364573654,0.010912093905514059,22,1.1428184509277344
6,-0.18259903646006506,-0.19967916245895354,0.007983144663482643,23,1.1035473346710205
7,-0.17256030487358365,-0.19500677042696324,0.010609640154072137,18,1.2081325054168701
8,-0.17256030487358365,-0.1978071074728005,0.08108703581598023,18,1.1428172588348389
9,-0.17550245367672382,-0.19482778313569593,0.08117403947240671,18,1.0836443901062012
10,-0.17360519573406952,-0.18520267748897973,0.006029037049509891,18,1.1608924865722656
11,-0.17330970774926535,-0.18368290402125445,0.006762000607874438,18,1.2069218158721924
12,-0.17330970774926535,-0.18048650624928997,0.004604894092891132,18,1.1628551483154297
13,-0.17201390452362028,-0.18002409346295714,0.008263751375026463,22,1.1762051582336426
14,-0.17082940032089589,-0.17822340690256364,0.00802115405518452,16,1.127317190170288
15,-0.1697836201002795,-0.1855474054838843,0.08237752084426918,16,1.2529358863830566
16,-0.1697836201002795,-0.17572906431351001,0.00856807531787984,16,1.1402146816253662
17,-0.1697835300585073,-0.17370338468766544,0.0076080588154843485,16,1.2077269554138184
18,-0.16978277656825957,-0.17300529020753042,0.007343617957367663,16,1.3270022869110107
19,-0.16978269753745925,-0.17190302549679476,0.004639761866259366,19,1.2694470882415771
20,-0.16961358726543155,-0.17274504839901694,0.009023492412663578,20,1.131453514099121
21,-0.16961351164068839,-0.17156223833010856,0.006315131406755344,20,1.1288321018218994
22,-0.1696135353661592,-0.1703670160393457,0.002919041190044874,20,1.1472625732421875
23,-0.16961352313671216,-0.17072118929093325,0.003733200952180727,20,1.142082929611206
24,-0.16856538379970545,-0.17164240178450374,0.009206579238344928,21,1.1509759426116943
25,-0.1685653615277959,-0.17107926754786212,0.0061816955987613696,19,1.2752928733825684
26,-0.1685653615277959,-0.17277870287373467,0.010111637012251774,19,1.1782894134521484
27,-0.16856530373024634,-0.17092968396631447,0.004228429360789662,15,1.2115111351013184
28,-0.16856530373024634,-0.17073507696792237,0.0071620909155930374,16,1.0598649978637695
29,-0.16856530373024634,-0.17144043883784238,0.007806108506496985,16,1.1292123794555664
30,-0.16856530373024634,-0.17138298284929465,0.008664627554313702,16,1.1152937412261963
31,-0.16856530373024634,-0.17138164404378944,0.008967971368024857,16,1.3321590423583984
32,-0.16856530373024634,-0.17063824773082156,0.009139668811680244,16,1.1382496356964111
33,-0.16856530373024634,-0.17179037761446356,0.010019826823667909,16,1.016178846359253
34,-0.16856530373024634,-0.1717116392958276,0.0095607827147438,16,1.1400563716888428
35,-0.16856530373024634,-0.1697947232773361,0.004124898780775521,16,1.098501443862915
36,-0.16856530373024634,-0.1698243044342408,0.004581225044310776,16,1.1011803150177002
