gen,max_r2,avg_r2,std_r2,best_n_features,elapsed_sec
0,0.009072626335903592,-0.35888448663139705,0.2716584751173589,17,40.22613000869751
1,-0.0010451872754369356,-0.19171658858423535,0.13662187037705373,17,19.338489532470703
2,0.02849974743054388,-0.13166987331500626,0.11750813441176287,20,22.980029821395874
3,0.02849974743054388,-0.0813312836967061,0.09147109716910445,20,21.499990940093994
4,0.040068355415589875,-0.05827866957476337,0.12502655773351493,21,22.405948877334595
5,0.04806778871381179,-0.02488359269864756,0.07622105784645332,17,23.910176753997803
6,0.06006010749080307,-0.009605183662285749,0.04637845662698212,21,23.079989433288574
7,0.0563201760478567,0.007708408572109959,0.037278208607914254,21,26.376442193984985
8,0.06532479254115149,0.015595680703327992,0.03146986748159839,29,25.57406973838806
9,0.07441447583722445,0.025285133304015748,0.03284822927758249,26,25.027738094329834
10,0.07785297548137908,0.04306636088374458,0.025349613539960996,26,27.280248165130615
11,0.08670745125439072,0.05447399471276713,0.015309120152059534,20,29.158533573150635
12,0.104140603910215,0.05683891997883185,0.019397884959522,22,27.901761531829834
13,0.104140603910215,0.05928750476202433,0.01886442783102168,22,27.03420066833496
14,0.09580486847732032,0.06432917843272101,0.017469810054668272,22,25.742313861846924
15,0.09458420827140397,0.06408950510795881,0.01944729164670126,22,28.435434103012085
16,0.10015221460950437,0.06779736331794624,0.02010431579781694,22,26.151118516921997
17,0.10548039878411186,0.0766880020258716,0.015869603386431144,25,27.700055837631226
18,0.11852008049933749,0.07854263389073662,0.017789033576953616,22,30.831360578536987
19,0.11852008049933749,0.08129789284183853,0.02106261666750314,22,31.182938814163208
20,0.11852008049933749,0.0890651688837226,0.016791906377983862,22,29.28083038330078
21,0.11852008049933749,0.09277136307762415,0.01507975502372431,22,29.116873025894165
22,0.11704685636311189,0.09501355221547052,0.012981561266614821,22,28.373565912246704
23,0.1222485980121345,0.09761452832000385,0.018907063360011217,26,28.975056409835815
24,0.1222485980121345,0.09923697226465783,0.019465514002524126,26,29.535248517990112
25,0.1240356142652359,0.10131032995560897,0.016426231062834883,27,32.31479263305664
26,0.11979700245967044,0.09986872022971977,0.02584302153208247,27,29.956035137176514
27,0.11981835991234761,0.10379442269324077,0.0201332462294174,27,30.8244366645813
28,0.12642779571830032,0.10819654205932668,0.0135476929487982,26,27.608999013900757
29,0.12642779571830032,0.10729854919426048,0.016292542947589497,26,28.948875665664673
30,0.12642779571830032,0.1090095570866642,0.021986590595230834,26,29.065114974975586
31,0.12642779571830032,0.10680687324579007,0.02150928702851339,26,34.7206928730011
32,0.12743081019935573,0.1111968852882839,0.016462791717138037,26,29.9784574508667
33,0.12743081019935573,0.11081044034403853,0.014588149271110162,26,26.873218536376953
34,0.12743081019935573,0.11188922477839959,0.017450306493633636,26,29.883395671844482
35,0.12743081019935573,0.11177377195578114,0.021372835684118296,26,29.016831636428833
36,0.12743081019935573,0.11545116307003339,0.013692245003817657,26,29.214818716049194
37,0.12743081019935573,0.11486912366874481,0.01874319628653207,26,28.98582100868225
38,0.12743081019935573,0.11438538533956652,0.02176775226300417,26,33.784656286239624
39,0.12743081019935573,0.11870798881369242,0.017661239686996143,26,28.049988746643066
40,0.12743081019935573,0.11689906187917813,0.02324800751803869,26,29.434293270111084
41,0.12743081019935573,0.12118586828165023,0.012933302517601624,26,31.590450763702393
42,0.12743081019935573,0.12106423367318608,0.023156090602201838,26,32.971413373947144
43,0.12743081019935573,0.11511565740338991,0.03290299959299677,26,32.08065390586853
44,0.12743081019935573,0.12261860427976223,0.01645604401376258,26,26.286142110824585
