feature,mi_score,rank
Delta_MaxAbsCharge,0.31786115920007774,1
VSA_EState8_2,0.26325236797635876,2
SPS_1,0.24844443192805743,3
MolMR_1,0.24760066068473074,4
Kappa2_1,0.24734868841340418,5
MinPartialCharge_1,0.24706861842794936,6
MinAbsPartialCharge_2,0.24503155714952118,7
MaxPartialCharge_2,0.24436599131945203,8
SPS_2,0.24304058727066735,9
LabuteASA_1,0.2428232924366891,10
MinAbsEStateIndex_1,0.2416469823291134,11
MolWt_1,0.24046762109465902,12
ExactMolWt_1,0.23917783616925004,13
MaxAbsPartialCharge_2,0.23853980618950388,14
qed_1,0.23825314405104425,15
MaxAbsPartialCharge_1,0.2375055771774255,16
NumValenceElectrons_1,0.23659270233097107,17
MolLogP_1,0.23544450045431864,18
BertzCT_1,0.2338251108880387,19
MinPartialCharge_2,0.2308818066513525,20
MinAbsEStateIndex_2,0.23000101931150319,21
VSA_EState8_1,0.22882388827796518,22
Kappa1_1,0.2279721268336914,23
HallKierAlpha_1,0.22776938998034124,24
MinEStateIndex_1,0.22680967139987018,25
HallKierAlpha_2,0.22422415136211393,26
Chi0_2,0.22207298176134138,27
Chi1n_1,0.2206214512045661,28
MolLogP_2,0.22014130115405006,29
EState_VSA1_2,0.21818385203868562,30
Morgan_Similarity,0.21730084008166806,31
MaxAbsEStateIndex_1,0.21500900631771724,32
SlogP_VSA5_1,0.2140004020082844,33
Chi1n_2,0.21299943164533452,34
MaxEStateIndex_1,0.2115536853619866,35
EState_VSA1_1,0.21035845595703995,36
PEOE_VSA9_2,0.21005681620638494,37
ExactMolWt_2,0.2095922444397793,38
MolWt_2,0.20901250095126578,39
Chi1_1,0.2079525283755892,40
InvT_x_DTPSA,0.2067829263945642,41
Chi1_2,0.2057166486219426,42
Chi0n_2,0.20517913633629625,43
PEOE_VSA7_1,0.2050454763349574,44
HeavyAtomMolWt_1,0.2048994687701038,45
Chi0_1,0.20333424971460312,46
MolMR_2,0.2015082470476406,47
Chi2v_1,0.19985444597119262,48
Kappa1_2,0.1995871131736675,49
LabuteASA_2,0.1992491926596225,50
MaxEStateIndex_2,0.19856956587455699,51
BertzCT_2,0.19819335798320203,52
MinAbsPartialCharge_1,0.19806867281081475,53
SlogP_VSA6_1,0.19805814606116057,54
MaxAbsEStateIndex_2,0.19789466055756222,55
AvgIpc_1,0.1973380353014953,56
SMR_VSA1_1,0.19681141638045663,57
Chi0v_1,0.1965394138782166,58
SMR_VSA7_1,0.19464033431329408,59
Chi0n_1,0.19442258379188493,60
VSA_EState1_1,0.19331330911000544,61
PEOE_VSA9_1,0.19291046815289725,62
Delta_TPSA,0.19125612413971638,63
InvT_x_DMaxCharge,0.1902494752711501,64
Avalon_Similarity,0.19009625954608733,65
MaxPartialCharge_1,0.18964784569771442,66
AvgIpc_2,0.18820433636256073,67
FpDensityMorgan1_2,0.18806085982531417,68
