AvalonFP1,MolWt1,logP1,TPSA1,AvalonFP2,MolWt2,logP2,TPSA2,Similarity,χ-result
00000010001000000000010000100000000000000000000000000000000000000001000000000000100000000000000000000000000000000000100001000000000000000000000000000000001100000000000000000000000000000000000000000010010000000000100000000010000000000001000000000000001000000100001000000000000000000000000000000000000000000000000000000000000100000110001000001000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000010000000000000010100000000000000000100000000001001000000001000000000,90.03169405,-0.5482,57.53,10001000000001010000000000000000001000000000000000000000001100000001000000000000010000000000000000000000100000000010100001000000000000000000000000000000000001000000000010000000100000000000000000010000010000000000000000000010000000000101000000000000000000000001010000000000001000000100000000000000000000001000000000000000000110000000001000001000000000000000100000000001000000000000001000000000000000000000000000000000000000000010000000001000000000000001000000000001000000000000000100000010101000000000000000000010,128.0837296,1.4921,26.3,0.174603175,26202.68
00000000001000010010000000000000000100000000000000000000000000000001000000000000000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000000000000001000000010000010000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000001000000000000000000000000010011000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000001000000,86.03677943,0.3454,26.3,00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000000000011000000000000001011000100000001000000,59.96675577,-0.6184,34.14,0.09375,-0.3
00000000001000010010000000000000000100000000000000000000000000000001000000000000000000000000000000000000010000000000100000000000000000000000000000000000001000000000000000000000000001000000010000010000000000000000000000000000000000000000000000000000000000000010000000000000000000100000000000000000001000000000000000000000000010011000000000001000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000001000000,86.03677943,0.3454,26.3,00000000001000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000001000000000001000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000010,72.05751488,0.9854,17.07,0.178571429,-0.3
00000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,18.01056468,-0.8247,31.5,00000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000100000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000000000000000000000000000000000000000000000000000100001000010000000000000000000000,44.02621475,0.0166,12.53,0,-29814.2
10000000001001011110000000010000000010000001000000000000000000000000000000000000010010001000001000000000100000000000010000000000000000000010000001000000001001000000000000000000100001000000000000000010000000000000000000001000000000000000000000100000000000000010000100010000010001000100000000001110001000011001010000000000000001000000000010000001010000000000000000000000000000000000011001000001000001000000000000010010000000000000000000000000000000000000000000000000000000010000010000000000101000000000000001010000,84.00337113,1.7481,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.151515152,3.34
10000000001101011110000100010000000010000001000000000000000000000001000000000000010010001001001001100000100000000000010000000000000000000010000101001000001001000000000000000000100001000000000000001010010000000000000000011000100100000010000000100000000000000010000100010000011001000100000000001110011000011101010000000000000011000000000010000001010000000000000000000000000001000000011001000101100001000100000000010110000000000000000001001000000000000000000000000000000000010000010000000000101000000000000001010000,98.01902119,2.05652,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.122222222,11.43
10000100001001011110000000010000001010000001000000000000000000000101000000000000010010001001001000000000100000000000010000000000000000000010000001001000011001000000000000000000100001000000000000001110010000000000000000011000100100000010000000100000000000000010000100010000011001000100000000001110011000011101010000000000000011000000000010000001010000000000000000000000000001000000011001000101100001000100000000010110000000000000000001000000000000000000000000000000000000010000010000000010101001000000000011010000,140.0659714,3.0907,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.119565217,7.41
10000100001001011110000000010000001010000001000000000000000000000101000000000000010010001001001000000000100000000000010000000000000000000010000001001000001001000000000000000000100001000000000000001010010000000000000000011000100100000010000000100000000000000010000100010000011001000100000000001110011000011101010000000000000011000000000010000001010000000000100000000000000001000000011001000101100001000100000000010110000000000000000001001000000000000000000000000000000000010000010000000010101000000000000011010000,168.0972715,3.8709,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.120879121,0.39
10000100001001011110000000010000001010000001000000000000000000000101000000000000010010001001001000000000100000000000010000000000000000000010000001001000001001000000000000000000100001000000000000001010010000000000000000011000100100000010000000100000000000000010000100010000011001000100000000001110011000011101010000000000000011000000000010000001010000000000100000000000000001000000011001000101100001000100000000010110000000000000000001001000000000000000000000000000000000010000010000000010101000000000000011010000,196.1285716,4.6511,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.120879121,-1.06
10000100001001011110000000010000001010000001000000000000000000000101000000000000010010001001001000000000100000000000010000000000000000000010000001001000001001000000000000000000100001000000000000001010010000000000000000011000100100000010000000100000000000000010000100010000011001000100000000001110011000011101010000000000000011000000000010000001010000000000100000000000000001000000011001000101100001000100000000010110000000000000000001001000000000000000000000000000000000010000010000000010101000000000000011010000,252.1911719,6.2115,0,00001000000000010000000000000000000000000000000000000000000000000000000010000000010000000000000000000000000000000010010001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000100000000000000000000001000000000001000000100000000000000000000000000000000000000000000000000000000001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000010101000000000000000000000,72.05751488,0.7968,9.23,0.120879121,-0.38
