Compound 1,Compound 2,χ,χN,Measured at T (K),Reference,SMILES 1,SMILES 2
poly(lactic acid),poly(6-methyl-ε-caprolactone),-0.1 + 61.2T,,428.15,10.1021/ma201063t10.1021/ma201063t,lactic%20acid,6-methyl-%CE%B5-caprolactone
poly(methyl acrylate),silicon dioxide,-0.3,,423.15,10.1021/ma200205j,methyl%20acrylate,silicon%20dioxide
poly(methyl acrylate),2-butanone,-0.45,,423.15,10.1021/ma200205j10.1021/ef502918t10.1021/ma035830m,methyl%20acrylate,2-butanone
water,poly(ethylene oxide),0.8 - 100T,,298.15,10.1021/ma301193h,water,ethylene%20oxide
polythiophene,tetrahydrofuran,3.34,,300,10.1021/ma401345n,thiophene,tetrahydrofuran
poly(3-methylthiophene),tetrahydrofuran,11.43,,300,10.1021/ma401345n,3-methylthiophene,tetrahydrofuran
poly(3-butylthiophene),tetrahydrofuran,7.41,,300,10.1021/ma401345n,3-butylthiophene,tetrahydrofuran
poly(3-hexylthiophene),tetrahydrofuran,0.39,,300,10.1021/ma401345n,3-hexylthiophene,tetrahydrofuran
poly(3-octylthiophene),tetrahydrofuran,-1.06,,300,10.1021/ma401345n,3-octylthiophene,tetrahydrofuran
poly(3-dodecylthiophene),tetrahydrofuran,-0.38,,300,10.1021/ma401345n,3-dodecylthiophene,tetrahydrofuran
polystyrene,poly(4-hydroxystyrene),0.68,,,10.1021/ma502192k10.1021/ma00203a026,styrene,4-hydroxystyrene
poly(ethylene oxide),poly(methyl acrylate),-0.04,,313.15,10.1021/ma102867d,ethylene%20oxide,methyl%20acrylate
polybutadiene,tetrahydrofuran,0.399,,298.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polybutadiene,tetrahydrofuran,0.403,,313.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polybutadiene,tetrahydrofuran,0.4,,328.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polybutadiene,tetrahydrofuran,0.4,,298.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polybutadiene,tetrahydrofuran,0.411,,313.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polybutadiene,tetrahydrofuran,0.42,,328.15,10.1021/ma302010j,butadiene,tetrahydrofuran
polyisoprene,cyclohexane,0.394,,298.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
polyisoprene,cyclohexane,0.373,,313.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
polyisoprene,cyclohexane,0.395,,328.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
polyisoprene,cyclohexane,0.437,,298.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
polyisoprene,cyclohexane,0.438,,313.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
polyisoprene,cyclohexane,0.44,,328.15,10.1021/ma302010j10.1016/j.eurpolymj.2007.08.002,isoprene,cyclohexane
poly(4-tert-butylstyrene),poly(methyl methacrylate),(-0.044 ± 0.002) + (41.2 ± 0.9)T,,,10.1021/ma301047y,4-tert-butylstyrene,methyl%20methacrylate
polystyrene,poly(methacrylic acid),1.1 ± 0.2,,293.15,10.1021/ma500232y10.1021/ma500232y,styrene,methacrylic%20acid
poly(acrylic acid),polyacrylamide,0.505 ± 0.01,,293.15,10.1021/ma2024683,acrylic%20acid,acrylamide
tetrahydrofuran,poly(3-hexylthiophene),1.04 ± 0.04,,296.15,10.1021/ma400597j,tetrahydrofuran,3-hexylthiophene
chloroform,poly(3-hexylthiophene),0.99 ± 0.01,,296.15,10.1021/ma400597j,chloroform,3-hexylthiophene
tetrahydrofuran,polystyrene,0.41 ± 0.02,,296.15,10.1021/ma400597j,tetrahydrofuran,styrene
chloroform,polystyrene,0.39 ± 0.01,,296.15,10.1021/ma400597j,chloroform,styrene
polystyrene,poly(3-hexylthiophene),0.48 ± 0.06,,296.15,10.1021/ma400597j,styrene,3-hexylthiophene
poly(trimethylsilylstyrene),poly(lactic acid),0.29 + 51.3T,,298.15,10.1021/ma401719p10.1021/ma301238j,trimethylsilylstyrene,lactic%20acid
deuterated poly(ethylene-alt-propylene),poly(ethylene-alt-propylene),0.0054 ± 0.0008,,423.15,10.1021/ma101898c,ethylene-alt-propylene,ethylene-alt-propylene
polystyrene,poly(methyl methacrylate),0.0209 + 2.87T,,413.15,10.1021/ma4004538,styrene,methyl%20methacrylate
polystyrene,poly(ε-caprolactone),-0.913 + 412T,,167,10.1021/ma301531a10.1016/0032-3861(95)93654-5,styrene,%CE%B5-caprolactone
poly(cyclohexylethylene),poly(methyl methacrylate),(-0.162 ± 0.013) + (144.4 ± 6.2)T,,,10.1021/ma4020164,cyclohexylethylene,methyl%20methacrylate
poly(styrene-ran-acrylonitrile),deuterated poly(methyl methacrylate),0.092 - 39.622T,,373 - 413,10.1021/ma401090q,styrene-ran-acrylonitrile,methyl%20methacrylate
